Linking,Asset Tag,Asset Description,Asset Type,Condition,Asset Type Description,Site,Location,Transact As Whole,Department Code,Checked Out,Serial No,Hyperlink,Manufacturer,Model,Check Out Length,Check Out Lead Time,Depreciation Class,Category,Vendor Number,Purchase Date,Purchase Cost,Salvage Value,Depreciation Begin Date,Last Depreciation Date,Total Depreciation,Current Depreciation,Book Value,Depreciate Asset,Purchase Order,Begin,End,Provider,Last Audit Date,Due Date,Customer No.,Customer Name,Employee No.,Employee Name
  Not Linked,40133,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40135,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,Y,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,1294,Daniel Brett Jones,,
  Not Linked,40136,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40137,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40138,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40139,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40140,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40141,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40142,Mouse,Mouse, ,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40143,"SD Cards, Compact Cards, Flash Drives, Hard Drives, etc.",Memory, ,"SD Cards, Compact Cards, Flash Drives, Hard Drives, etc.",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40144,Senior Light Kit A (FULL SET),Lights, ,"Black Bag, Case lighst, Fresnel, Day-lights, Field-Pro lights",Media Supply,Big Rapids,T, ,Y,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,1298,Keneth Riegert,,
  Not Linked,40145,16 GB SD Card,Memory,Excellent,"SD Cards, Compact Cards, Flash Drives, Hard Drives, etc.",Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40146,Keyboard,Keyboard,Good,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
  Not Linked,40147,Mouse,Mouse,Good,,Media Supply,Big Rapids,T, ,,,, ,,0   days 0  hrs 0  min ,0    days 0  hrs 0  min , , ,,,0,0,,,0,0,0,F,,,,,,,,,,
